image_id,block_size,num_masks,mask_type,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE
0,2,1,random_binary,0.05817776918411255,0.180869922041893,18.3730291259686,0.3350805618429858,0.20282766222953796,30.873687744140625,5.210098606767133e-06
1,2,1,random_binary,0.06439810991287231,0.19157224893569946,17.931868923119172,0.36680324461725844,0.18904098868370056,32.48228073120117,5.369723112380598e-06
2,2,1,random_binary,0.06827184557914734,0.19584137201309204,17.678183477612585,0.35032609372476486,0.21405041217803955,33.444969177246094,5.489557224791497e-06
3,2,1,random_binary,0.06498613953590393,0.1928846836090088,17.892392457348688,0.34317503749757317,0.20071417093276978,32.630245208740234,5.156641691428376e-06
4,2,1,random_binary,0.059293232858181,0.18303754925727844,18.290548422890108,0.3514244063390379,0.22371962666511536,31.168258666992188,5.3631993068847805e-06
5,2,1,random_binary,0.05693718045949936,0.17903032898902893,18.466640065435122,0.35637428939369503,0.21054665744304657,30.54273796081543,5.417023658083053e-06
6,2,1,random_binary,0.05969041585922241,0.18309588730335236,18.261553894139993,0.3596422506180407,0.18563243746757507,31.272476196289062,5.0796547839127015e-06
7,2,1,random_binary,0.05926133692264557,0.18281643092632294,18.292885360978598,0.33544706275211705,0.18287084996700287,31.159873962402344,5.5133505156845786e-06
8,2,1,random_binary,0.06611988693475723,0.19346383213996887,17.81727873737975,0.3399017868779078,0.21860136091709137,32.91364669799805,5.337634320312645e-06
9,2,1,random_binary,0.06324832141399384,0.18874377012252808,18.01011021748971,0.3569055821052656,0.20227429270744324,32.191001892089844,5.296948074828833e-06
10,2,1,random_binary,0.06080401688814163,0.1849600374698639,18.181277132836346,0.3381893686420968,0.24869461357593536,31.562841415405273,5.187211172597017e-06
11,2,1,random_binary,0.05596346780657768,0.17729684710502625,18.54155369646437,0.36138160068148534,0.20859915018081665,30.280447006225586,5.356633664632682e-06
12,2,1,random_binary,0.05822743475437164,0.18143834173679352,18.369323246623924,0.359234098319242,0.21071428060531616,30.886863708496094,5.324361154634971e-06
13,2,1,random_binary,0.06616774946451187,0.1938982903957367,17.81413655732755,0.35513556402397256,0.2307060956954956,32.925559997558594,5.292606147122569e-06
14,2,1,random_binary,0.0630851686000824,0.1883855164051056,18.02132713624253,0.3384137058928548,0.18265923857688904,32.14945602416992,5.4034326240071096e-06
15,2,1,random_binary,0.06216760724782944,0.1875080019235611,18.084958336631857,0.35705510549935093,0.2126060277223587,31.914794921875,5.458373379951809e-06
